step,indicator_mean,indicator_std,total_tested,below_p01_threshold,below_soft_threshold,single_byte_total,single_byte_undertrained,utf_fragment_total,utf_fragment_undertrained,entries_below_threshold,threshold_value
50,1.0,0.036,999,997,995,256,14,216,4,995,0.926
5000,0.226,0.133,1000,968,966,256,52,216,37,966,0.045
10000,0.185,0.114,1000,965,966,256,53,216,38,966,0.026
15000,0.15,0.106,1000,968,966,256,53,216,45,966,0.017
20000,0.128,0.102,1000,968,966,256,52,216,41,966,0.013
25000,0.117,0.099,1000,968,966,256,52,216,41,966,0.01
30000,0.107,0.095,1000,962,966,256,51,216,45,966,0.008
35000,0.101,0.092,1000,968,966,256,52,216,49,966,0.007
40000,0.107,0.091,1000,968,966,256,49,216,51,966,0.008
45000,0.113,0.092,1000,967,966,256,50,216,56,966,0.009
50000,0.103,0.091,1000,965,966,256,49,216,45,966,0.007
55000,0.091,0.091,1000,969,967,256,52,216,45,967,0.005
60000,0.094,0.091,1000,966,966,256,52,216,40,966,0.006
65000,0.105,0.092,1000,965,966,256,51,216,40,966,0.007
70000,0.112,0.092,1000,966,966,256,51,216,39,966,0.008
75000,0.111,0.093,1000,965,966,256,52,216,44,966,0.008
80000,0.105,0.093,1000,968,966,256,51,216,40,966,0.007
85000,0.097,0.092,1000,967,966,256,51,216,42,966,0.006
90000,0.09,0.091,1000,967,966,256,51,216,43,966,0.005
95000,0.085,0.09,1000,968,966,256,53,216,44,966,0.005
